   dentity  pressure  energy
   0.100000E-01   0.114375E-01   0.941885E+01
   0.200000E-01   0.289499E-01   0.188590E+02
   0.300000E-01   0.661772E-01   0.283135E+02
   0.400000E-01   0.141844E+00   0.377833E+02
   0.500000E-01   0.267473E+00   0.472690E+02
   0.600000E-01   0.443495E+00   0.567708E+02
   0.700000E-01   0.661017E+00   0.662901E+02
   0.800000E-01   0.906473E+00   0.758275E+02
   0.900000E-01   0.116655E+01   0.853823E+02
   0.100000E+00   0.143171E+01   0.949547E+02
   0.110000E+00   0.169831E+01   0.104548E+03
   0.120000E+00   0.196303E+01   0.114162E+03
   0.130000E+00   0.223265E+01   0.123799E+03
   0.140000E+00   0.252213E+01   0.133459E+03
   0.150000E+00   0.284730E+01   0.143148E+03
   0.160000E+00   0.322479E+01   0.152867E+03
   0.170000E+00   0.326601E+01   0.162610E+03
   0.180000E+00   0.317145E+01   0.172358E+03
   0.190000E+00   0.308228E+01   0.182102E+03
   0.200000E+00   0.303121E+01   0.191850E+03
   0.210000E+00   0.304445E+01   0.201605E+03
   0.220000E+00   0.314813E+01   0.211374E+03
   0.230000E+00   0.336497E+01   0.221155E+03
   0.240000E+00   0.371926E+01   0.230954E+03
   0.250000E+00   0.423529E+01   0.240778E+03
   0.260000E+00   0.493560E+01   0.250639E+03
   0.270000E+00   0.584074E+01   0.260538E+03
   0.280000E+00   0.697169E+01   0.270484E+03
   0.290000E+00   0.834711E+01   0.280483E+03
   0.300000E+00   0.998117E+01   0.290542E+03
   0.310000E+00   0.118854E+02   0.300671E+03
   0.320000E+00   0.140679E+02   0.310867E+03
   0.330000E+00   0.165419E+02   0.321150E+03
   0.340000E+00   0.193102E+02   0.331516E+03
   0.350000E+00   0.223752E+02   0.341973E+03
   0.360000E+00   0.256105E+02   0.352531E+03
   0.370000E+00   0.290249E+02   0.363186E+03
   0.380000E+00   0.326911E+02   0.373942E+03
   0.390000E+00   0.366354E+02   0.384805E+03
   0.400000E+00   0.408237E+02   0.395775E+03
   0.410000E+00   0.447601E+02   0.406863E+03
   0.420000E+00   0.487202E+02   0.418032E+03
   0.430000E+00   0.527848E+02   0.429313E+03
   0.440000E+00   0.569787E+02   0.440695E+03
   0.450000E+00   0.613034E+02   0.452159E+03
   0.460000E+00   0.657677E+02   0.463737E+03
   0.470000E+00   0.703730E+02   0.475406E+03
   0.480000E+00   0.751238E+02   0.487200E+03
   0.490000E+00   0.800031E+02   0.499067E+03
   0.500000E+00   0.850252E+02   0.511047E+03
   0.510000E+00   0.901830E+02   0.523148E+03
   0.520000E+00   0.954682E+02   0.535319E+03
   0.530000E+00   0.100846E+03   0.547607E+03
   0.540000E+00   0.106342E+03   0.560014E+03
   0.550000E+00   0.111951E+03   0.572514E+03
   0.560000E+00   0.117671E+03   0.585089E+03
   0.570000E+00   0.123533E+03   0.597826E+03
   0.580000E+00   0.129511E+03   0.610625E+03
   0.590000E+00   0.135617E+03   0.623550E+03
   0.600000E+00   0.141840E+03   0.636546E+03
   0.610000E+00   0.148201E+03   0.649703E+03
   0.620000E+00   0.154665E+03   0.662908E+03
   0.630000E+00   0.161257E+03   0.676242E+03
   0.640000E+00   0.167956E+03   0.689659E+03
   0.650000E+00   0.174792E+03   0.703233E+03
   0.660000E+00   0.181726E+03   0.716872E+03
   0.670000E+00   0.188800E+03   0.730679E+03
   0.680000E+00   0.195969E+03   0.744540E+03
   0.690000E+00   0.203230E+03   0.758460E+03
   0.700000E+00   0.210371E+03   0.772589E+03
   0.710000E+00   0.217298E+03   0.786712E+03
   0.720000E+00   0.224280E+03   0.801007E+03
   0.730000E+00   0.231306E+03   0.815379E+03
   0.740000E+00   0.238413E+03   0.829861E+03
   0.750000E+00   0.245577E+03   0.844415E+03
   0.760000E+00   0.252820E+03   0.859088E+03
   0.770000E+00   0.260132E+03   0.873797E+03
   0.780000E+00   0.267552E+03   0.888679E+03
   0.790000E+00   0.275015E+03   0.903592E+03
   0.800000E+00   0.282539E+03   0.918631E+03
   0.810000E+00   0.290126E+03   0.933701E+03
