  density  pressure  energy
   0.100000E-01   0.192901E-01   0.940647E+01
   0.200000E-01   0.588712E-01   0.188505E+02
   0.300000E-01   0.100656E+00   0.282878E+02
   0.400000E-01   0.137904E+00   0.379569E+02
   0.500000E-01   0.161353E+00   0.473583E+02
   0.600000E-01   0.174318E+00   0.569633E+02
   0.700000E-01   0.192539E+00   0.663492E+02
   0.800000E-01   0.233754E+00   0.758612E+02
   0.900000E-01   0.304029E+00   0.853742E+02
   0.100000E+00   0.415903E+00   0.948907E+02
   0.110000E+00   0.588228E+00   0.104564E+03
   0.120000E+00   0.823318E+00   0.114000E+03
   0.130000E+00   0.112261E+01   0.123720E+03
   0.140000E+00   0.149342E+01   0.133261E+03
   0.150000E+00   0.195190E+01   0.142970E+03
   0.160000E+00   0.248970E+01   0.152573E+03
   0.170000E+00   0.311824E+01   0.162278E+03
   0.180000E+00   0.384908E+01   0.172044E+03
   0.190000E+00   0.466124E+01   0.181818E+03
   0.200000E+00   0.559382E+01   0.191754E+03
   0.210000E+00   0.660986E+01   0.201554E+03
   0.220000E+00   0.773162E+01   0.211476E+03
   0.230000E+00   0.899182E+01   0.221600E+03
   0.240000E+00   0.103351E+02   0.231642E+03
   0.250000E+00   0.117852E+02   0.241634E+03
   0.260000E+00   0.133515E+02   0.251781E+03
   0.270000E+00   0.150504E+02   0.262026E+03
   0.280000E+00   0.168703E+02   0.272400E+03
   0.290000E+00   0.187737E+02   0.282662E+03
   0.300000E+00   0.203135E+02   0.293192E+03
   0.310000E+00   0.213019E+02   0.303649E+03
   0.320000E+00   0.222809E+02   0.314073E+03
   0.330000E+00   0.233240E+02   0.324641E+03
   0.340000E+00   0.244468E+02   0.335159E+03
   0.350000E+00   0.256805E+02   0.345860E+03
   0.360000E+00   0.270067E+02   0.356463E+03
   0.370000E+00   0.284447E+02   0.367081E+03
   0.380000E+00   0.300062E+02   0.377794E+03
   0.390000E+00   0.316845E+02   0.388574E+03
   0.400000E+00   0.334897E+02   0.399358E+03
   0.410000E+00   0.354227E+02   0.410271E+03
   0.420000E+00   0.374587E+02   0.421123E+03
   0.430000E+00   0.396135E+02   0.432069E+03
   0.440000E+00   0.416425E+02   0.443098E+03
   0.450000E+00   0.436459E+02   0.454168E+03
   0.460000E+00   0.456939E+02   0.465242E+03
   0.470000E+00   0.477753E+02   0.476322E+03
   0.480000E+00   0.499238E+02   0.487519E+03
   0.490000E+00   0.521226E+02   0.498742E+03
   0.500000E+00   0.543924E+02   0.510069E+03
   0.510000E+00   0.566911E+02   0.521272E+03
   0.520000E+00   0.590749E+02   0.532751E+03
   0.530000E+00   0.614983E+02   0.544110E+03
   0.540000E+00   0.640010E+02   0.555623E+03
   0.550000E+00   0.665536E+02   0.567088E+03
   0.560000E+00   0.691604E+02   0.578647E+03
   0.570000E+00   0.718174E+02   0.590269E+03
   0.580000E+00   0.745346E+02   0.601990E+03
   0.590000E+00   0.773130E+02   0.613687E+03
   0.600000E+00   0.801412E+02   0.625440E+03
   0.610000E+00   0.830014E+02   0.637144E+03
   0.620000E+00   0.859487E+02   0.649086E+03
   0.630000E+00   0.889011E+02   0.660818E+03
   0.640000E+00   0.919440E+02   0.672830E+03
   0.650000E+00   0.950473E+02   0.684909E+03
   0.660000E+00   0.981658E+02   0.696948E+03
