  density  pressure  energy
   0.100000E-01   0.211888E-01   0.942252E+01
   0.200000E-01   0.604253E-01   0.188858E+02
   0.300000E-01   0.102730E+00   0.283649E+02
   0.400000E-01   0.136562E+00   0.378698E+02
   0.500000E-01   0.158345E+00   0.473734E+02
   0.600000E-01   0.173821E+00   0.568801E+02
   0.700000E-01   0.194442E+00   0.663902E+02
   0.800000E-01   0.233696E+00   0.759054E+02
   0.900000E-01   0.304044E+00   0.854259E+02
   0.100000E+00   0.419045E+00   0.949571E+02
   0.110000E+00   0.589413E+00   0.104519E+03
   0.120000E+00   0.820499E+00   0.114085E+03
   0.130000E+00   0.111948E+01   0.123672E+03
   0.140000E+00   0.149405E+01   0.133273E+03
   0.150000E+00   0.195303E+01   0.142914E+03
   0.160000E+00   0.252327E+01   0.152589E+03
   0.170000E+00   0.335462E+01   0.162309E+03
   0.180000E+00   0.481548E+01   0.172092E+03
   0.190000E+00   0.698011E+01   0.181977E+03
   0.200000E+00   0.959714E+01   0.191987E+03
   0.210000E+00   0.124936E+02   0.202137E+03
   0.220000E+00   0.155814E+02   0.212427E+03
   0.230000E+00   0.188180E+02   0.222866E+03
   0.240000E+00   0.221782E+02   0.233458E+03
   0.250000E+00   0.256334E+02   0.244166E+03
   0.260000E+00   0.291847E+02   0.255028E+03
   0.270000E+00   0.328184E+02   0.266028E+03
   0.280000E+00   0.365276E+02   0.277163E+03
   0.290000E+00   0.403066E+02   0.288432E+03
   0.300000E+00   0.441511E+02   0.299833E+03
   0.310000E+00   0.480615E+02   0.311375E+03
   0.320000E+00   0.520225E+02   0.323023E+03
   0.330000E+00   0.560416E+02   0.334803E+03
   0.340000E+00   0.601181E+02   0.346721E+03
   0.350000E+00   0.639031E+02   0.358742E+03
   0.360000E+00   0.674078E+02   0.370851E+03
   0.370000E+00   0.708679E+02   0.383089E+03
   0.380000E+00   0.743028E+02   0.395390E+03
   0.390000E+00   0.774926E+02   0.407799E+03
   0.400000E+00   0.806047E+02   0.420288E+03
   0.410000E+00   0.837314E+02   0.432855E+03
   0.420000E+00   0.868827E+02   0.445495E+03
   0.430000E+00   0.900627E+02   0.458211E+03
   0.440000E+00   0.932744E+02   0.470984E+03
   0.450000E+00   0.965224E+02   0.483850E+03
   0.460000E+00   0.997998E+02   0.496779E+03
   0.470000E+00   0.103118E+03   0.509778E+03
   0.480000E+00   0.106463E+03   0.522854E+03
   0.490000E+00   0.109846E+03   0.535997E+03
   0.500000E+00   0.113266E+03   0.549227E+03
   0.510000E+00   0.116716E+03   0.562511E+03
   0.520000E+00   0.120201E+03   0.575860E+03
   0.530000E+00   0.123717E+03   0.589270E+03
   0.540000E+00   0.127270E+03   0.602765E+03
   0.550000E+00   0.130850E+03   0.616325E+03
   0.560000E+00   0.134474E+03   0.629935E+03
   0.570000E+00   0.138117E+03   0.643604E+03
   0.580000E+00   0.141798E+03   0.657355E+03
   0.590000E+00   0.145514E+03   0.671182E+03
   0.600000E+00   0.149260E+03   0.685047E+03
   0.610000E+00   0.153035E+03   0.698986E+03
   0.620000E+00   0.156842E+03   0.712974E+03
   0.630000E+00   0.160682E+03   0.727025E+03
   0.640000E+00   0.164550E+03   0.741165E+03
   0.650000E+00   0.168448E+03   0.755342E+03
   0.660000E+00   0.172375E+03   0.769581E+03
   0.670000E+00   0.176333E+03   0.783889E+03
   0.680000E+00   0.180324E+03   0.798251E+03
   0.690000E+00   0.184342E+03   0.812672E+03
   0.700000E+00   0.188382E+03   0.827154E+03
   0.710000E+00   0.192457E+03   0.841688E+03
   0.720000E+00   0.196560E+03   0.856267E+03
   0.730000E+00   0.200697E+03   0.870939E+03
   0.740000E+00   0.204853E+03   0.885636E+03
   0.750000E+00   0.209042E+03   0.900395E+03
   0.760000E+00   0.213252E+03   0.915210E+03
   0.770000E+00   0.217497E+03   0.930095E+03
   0.780000E+00   0.221766E+03   0.945032E+03
   0.790000E+00   0.226061E+03   0.960012E+03
   0.800000E+00   0.230382E+03   0.975048E+03
   0.810000E+00   0.234735E+03   0.990156E+03
   0.820000E+00   0.239106E+03   0.100530E+04
   0.830000E+00   0.243511E+03   0.102050E+04
   0.840000E+00   0.247941E+03   0.103577E+04
   0.850000E+00   0.252394E+03   0.105107E+04
   0.860000E+00   0.256874E+03   0.106641E+04
   0.870000E+00   0.261373E+03   0.108183E+04
   0.880000E+00   0.265911E+03   0.109731E+04
   0.890000E+00   0.270466E+03   0.111283E+04
   0.900000E+00   0.275042E+03   0.112839E+04
   0.910000E+00   0.279645E+03   0.114401E+04
   0.920000E+00   0.284272E+03   0.115969E+04
   0.930000E+00   0.288923E+03   0.117539E+04
   0.940000E+00   0.293603E+03   0.119116E+04
   0.950000E+00   0.298302E+03   0.120699E+04
   0.960000E+00   0.303009E+03   0.122286E+04
   0.970000E+00   0.307726E+03   0.123877E+04
   0.980000E+00   0.312468E+03   0.125475E+04
   0.990000E+00   0.317235E+03   0.127077E+04
   0.100000E+01   0.322017E+03   0.128682E+04
   0.101000E+01   0.326826E+03   0.130296E+04
   0.102000E+01   0.331646E+03   0.131910E+04
   0.103000E+01   0.336494E+03   0.133532E+04
   0.104000E+01   0.341345E+03   0.135155E+04
   0.105000E+01   0.346233E+03   0.136784E+04
   0.106000E+01   0.351147E+03   0.138420E+04
   0.107000E+01   0.356071E+03   0.140062E+04
   0.108000E+01   0.361024E+03   0.141706E+04
   0.109000E+01   0.365980E+03   0.143355E+04
   0.110000E+01   0.370981E+03   0.145005E+04
   0.111000E+01   0.375981E+03   0.146666E+04
   0.112000E+01   0.381012E+03   0.148326E+04
   0.113000E+01   0.386063E+03   0.149994E+04
   0.114000E+01   0.391127E+03   0.151665E+04
   0.115000E+01   0.396215E+03   0.153341E+04
   0.116000E+01   0.401319E+03   0.155019E+04
   0.117000E+01   0.406448E+03   0.156703E+04
   0.118000E+01   0.411603E+03   0.158394E+04
   0.119000E+01   0.416754E+03   0.160087E+04
   0.120000E+01   0.421955E+03   0.161787E+04
