   0.113000E+01   0.148058E+04   0.557237E+03
   0.114000E+01   0.149868E+04   0.568009E+03
   0.115000E+01   0.151689E+04   0.578891E+03
   0.116000E+01   0.153519E+04   0.589845E+03
   0.117000E+01   0.155359E+04   0.600939E+03
   0.118000E+01   0.157206E+04   0.612019E+03
   0.119000E+01   0.159071E+04   0.623026E+03
   0.120000E+01   0.160926E+04   0.633940E+03
   0.121000E+01   0.162814E+04   0.644995E+03
   0.122000E+01   0.164697E+04   0.656028E+03
   0.123000E+01   0.166594E+04   0.667158E+03
   0.124000E+01   0.168486E+04   0.678276E+03
   0.125000E+01   0.170404E+04   0.689558E+03
   0.126000E+01   0.172326E+04   0.700871E+03
   0.127000E+01   0.174258E+04   0.712279E+03
   0.128000E+01   0.176190E+04   0.723727E+03
   0.129000E+01   0.178143E+04   0.735259E+03
   0.130000E+01   0.180112E+04   0.746997E+03
   0.131000E+01   0.182063E+04   0.758635E+03
   0.132000E+01   0.184034E+04   0.770420E+03
   0.133000E+01   0.186033E+04   0.782340E+03
   0.134000E+01   0.188018E+04   0.794250E+03
   0.135000E+01   0.190019E+04   0.806312E+03
   0.136000E+01   0.192041E+04   0.818509E+03
   0.137000E+01   0.194059E+04   0.830694E+03
   0.138000E+01   0.196074E+04   0.842916E+03
   0.139000E+01   0.198121E+04   0.855343E+03
   0.140000E+01   0.200165E+04   0.867806E+03
