  density  pressure  energy
   0.100000E-01   0.192901E-01   0.940647E+01
   0.200000E-01   0.588712E-01   0.188505E+02
   0.300000E-01   0.100656E+00   0.282878E+02
   0.400000E-01   0.137904E+00   0.379569E+02
   0.500000E-01   0.161353E+00   0.473583E+02
   0.600000E-01   0.174318E+00   0.569633E+02
   0.700000E-01   0.192539E+00   0.663492E+02
   0.800000E-01   0.233754E+00   0.758612E+02
   0.900000E-01   0.304029E+00   0.853742E+02
   0.100000E+00   0.415903E+00   0.948907E+02
   0.110000E+00   0.588228E+00   0.104564E+03
   0.120000E+00   0.823318E+00   0.114000E+03
   0.130000E+00   0.112262E+01   0.123720E+03
   0.140000E+00   0.149342E+01   0.133261E+03
   0.150000E+00   0.195190E+01   0.142970E+03
   0.160000E+00   0.248970E+01   0.152573E+03
   0.170000E+00   0.311824E+01   0.162278E+03
   0.180000E+00   0.384908E+01   0.172044E+03
   0.190000E+00   0.466124E+01   0.181818E+03
   0.200000E+00   0.559382E+01   0.191754E+03
   0.210000E+00   0.660986E+01   0.201554E+03
   0.220000E+00   0.773162E+01   0.211476E+03
   0.230000E+00   0.899181E+01   0.221600E+03
   0.240000E+00   0.103351E+02   0.231642E+03
   0.250000E+00   0.117852E+02   0.241634E+03
   0.260000E+00   0.133515E+02   0.251781E+03
   0.270000E+00   0.150504E+02   0.262026E+03
   0.280000E+00   0.168703E+02   0.272400E+03
   0.290000E+00   0.187737E+02   0.282662E+03
   0.300000E+00   0.203146E+02   0.293192E+03
   0.310000E+00   0.212995E+02   0.303646E+03
   0.320000E+00   0.222801E+02   0.314072E+03
   0.330000E+00   0.233263E+02   0.324642E+03
   0.340000E+00   0.244560E+02   0.335217E+03
   0.350000E+00   0.256715E+02   0.345788E+03
   0.360000E+00   0.270058E+02   0.356449E+03
   0.370000E+00   0.284468E+02   0.367063E+03
   0.380000E+00   0.300055E+02   0.377794E+03
   0.390000E+00   0.316860E+02   0.388575E+03
   0.400000E+00   0.334892E+02   0.399357E+03
   0.410000E+00   0.354242E+02   0.410243E+03
   0.420000E+00   0.374580E+02   0.421123E+03
   0.430000E+00   0.396140E+02   0.432058E+03
   0.440000E+00   0.416423E+02   0.443098E+03
   0.450000E+00   0.436402E+02   0.454084E+03
   0.460000E+00   0.456984E+02   0.465290E+03
   0.470000E+00   0.477735E+02   0.476352E+03
   0.480000E+00   0.499127E+02   0.487454E+03
   0.490000E+00   0.521162E+02   0.498720E+03
   0.500000E+00   0.543911E+02   0.510088E+03
   0.510000E+00   0.566981E+02   0.521395E+03
   0.520000E+00   0.590699E+02   0.532657E+03
   0.530000E+00   0.615199E+02   0.544187E+03
   0.540000E+00   0.639999E+02   0.555613E+03
   0.550000E+00   0.665464E+02   0.567061E+03
   0.560000E+00   0.691726E+02   0.578761E+03
   0.570000E+00   0.718139E+02   0.590322E+03
   0.580000E+00   0.745340E+02   0.601993E+03
   0.590000E+00   0.773181E+02   0.613678E+03
   0.600000E+00   0.801428E+02   0.625416E+03
   0.610000E+00   0.830015E+02   0.637145E+03
   0.620000E+00   0.859485E+02   0.649085E+03
   0.630000E+00   0.889130E+02   0.660902E+03
   0.640000E+00   0.919496E+02   0.672831E+03
   0.650000E+00   0.950232E+02   0.684757E+03
   0.660000E+00   0.981367E+02   0.696813E+03
