 dentity  pressure  energy
   0.100000E-01   0.121122E-01   0.942514E+01
   0.200000E-01   0.311156E-01   0.188722E+02
   0.300000E-01   0.720226E-01   0.283345E+02
   0.400000E-01   0.154135E+00   0.378113E+02
   0.500000E-01   0.287048E+00   0.473032E+02
   0.600000E-01   0.467149E+00   0.568108E+02
   0.700000E-01   0.681016E+00   0.663342E+02
   0.800000E-01   0.911774E+00   0.758726E+02
   0.900000E-01   0.114498E+01   0.854262E+02
   0.100000E+00   0.137237E+01   0.949959E+02
   0.110000E+00   0.159300E+01   0.104585E+03
   0.120000E+00   0.180823E+01   0.114192E+03
   0.130000E+00   0.202883E+01   0.123818E+03
   0.140000E+00   0.227358E+01   0.133469E+03
   0.150000E+00   0.256149E+01   0.143148E+03
   0.160000E+00   0.291246E+01   0.152857E+03
   0.170000E+00   0.334688E+01   0.162599E+03
   0.180000E+00   0.388539E+01   0.172384E+03
   0.190000E+00   0.454750E+01   0.182214E+03
   0.200000E+00   0.535081E+01   0.192090E+03
   0.210000E+00   0.631635E+01   0.202025E+03
   0.220000E+00   0.745774E+01   0.212022E+03
   0.230000E+00   0.878932E+01   0.222084E+03
   0.240000E+00   0.103293E+02   0.232220E+03
   0.250000E+00   0.120854E+02   0.242435E+03
   0.260000E+00   0.140700E+02   0.252735E+03
   0.270000E+00   0.162916E+02   0.263122E+03
   0.280000E+00   0.187584E+02   0.273606E+03
   0.290000E+00   0.214758E+02   0.284185E+03
   0.300000E+00   0.244514E+02   0.294878E+03
   0.310000E+00   0.276861E+02   0.305676E+03
   0.320000E+00   0.311842E+02   0.316590E+03
   0.330000E+00   0.345861E+02   0.327620E+03
   0.340000E+00   0.371084E+02   0.338741E+03
   0.350000E+00   0.395997E+02   0.349943E+03
   0.360000E+00   0.421766E+02   0.361213E+03
   0.370000E+00   0.448760E+02   0.372557E+03
   0.380000E+00   0.477117E+02   0.383979E+03
   0.390000E+00   0.506437E+02   0.395407E+03
   0.400000E+00   0.509585E+02   0.401613E+03
   0.410000E+00   0.512600E+02   0.407712E+03
   0.420000E+00   0.516086E+02   0.413809E+03
   0.430000E+00   0.520179E+02   0.419929E+03
   0.440000E+00   0.524690E+02   0.426054E+03
   0.450000E+00   0.529761E+02   0.432204E+03
   0.460000E+00   0.536101E+02   0.438502E+03
   0.470000E+00   0.542184E+02   0.444678E+03
   0.480000E+00   0.549611E+02   0.451022E+03
   0.490000E+00   0.557616E+02   0.457381E+03
   0.500000E+00   0.566103E+02   0.463748E+03
   0.510000E+00   0.574962E+02   0.470135E+03
   0.520000E+00   0.584469E+02   0.476540E+03
