  density  pressure  energy
   0.100000E-01   0.192901E-01   0.940647E+01
   0.200000E-01   0.588713E-01   0.188505E+02
   0.300000E-01   0.100656E+00   0.282878E+02
   0.400000E-01   0.137904E+00   0.379569E+02
   0.500000E-01   0.161351E+00   0.473583E+02
   0.600000E-01   0.174316E+00   0.569633E+02
   0.700000E-01   0.192537E+00   0.663492E+02
   0.800000E-01   0.233737E+00   0.758612E+02
   0.900000E-01   0.303990E+00   0.853742E+02
   0.100000E+00   0.415843E+00   0.948907E+02
   0.110000E+00   0.588122E+00   0.104564E+03
   0.120000E+00   0.823422E+00   0.114000E+03
   0.130000E+00   0.111571E+01   0.123671E+03
   0.140000E+00   0.149351E+01   0.133261E+03
   0.150000E+00   0.195216E+01   0.142906E+03
   0.160000E+00   0.248961E+01   0.152573E+03
   0.170000E+00   0.311813E+01   0.162278E+03
   0.180000E+00   0.384901E+01   0.172044E+03
   0.190000E+00   0.466116E+01   0.181818E+03
   0.200000E+00   0.559361E+01   0.191754E+03
   0.210000E+00   0.660979E+01   0.201554E+03
   0.220000E+00   0.773157E+01   0.211476E+03
   0.230000E+00   0.899174E+01   0.221600E+03
   0.240000E+00   0.103350E+02   0.231642E+03
   0.250000E+00   0.117852E+02   0.241634E+03
   0.260000E+00   0.133515E+02   0.251781E+03
   0.270000E+00   0.150504E+02   0.262026E+03
   0.280000E+00   0.168703E+02   0.272400E+03
   0.290000E+00   0.187737E+02   0.282662E+03
   0.300000E+00   0.208177E+02   0.293097E+03
   0.310000E+00   0.229751E+02   0.303597E+03
   0.320000E+00   0.252809E+02   0.314297E+03
   0.330000E+00   0.276630E+02   0.324933E+03
   0.340000E+00   0.301398E+02   0.335540E+03
   0.350000E+00   0.327787E+02   0.346458E+03
   0.360000E+00   0.354798E+02   0.357250E+03
   0.370000E+00   0.382912E+02   0.368137E+03
   0.380000E+00   0.412219E+02   0.379173E+03
   0.390000E+00   0.437600E+02   0.390296E+03
   0.400000E+00   0.461750E+02   0.401544E+03
   0.410000E+00   0.485300E+02   0.412711E+03
   0.420000E+00   0.509192E+02   0.424008E+03
   0.430000E+00   0.533142E+02   0.435320E+03
   0.440000E+00   0.557467E+02   0.446732E+03
   0.450000E+00   0.582145E+02   0.458163E+03
   0.460000E+00   0.607032E+02   0.469622E+03
   0.470000E+00   0.632637E+02   0.481245E+03
   0.480000E+00   0.658385E+02   0.492808E+03
   0.490000E+00   0.683242E+02   0.504497E+03
   0.500000E+00   0.708167E+02   0.516291E+03
   0.510000E+00   0.733078E+02   0.527951E+03
   0.520000E+00   0.758791E+02   0.539837E+03
   0.530000E+00   0.784857E+02   0.551713E+03
   0.540000E+00   0.811171E+02   0.563547E+03
   0.550000E+00   0.838347E+02   0.575607E+03
   0.560000E+00   0.865576E+02   0.587514E+03
   0.570000E+00   0.893795E+02   0.599624E+03
   0.580000E+00   0.922018E+02   0.611697E+03
   0.590000E+00   0.951277E+02   0.623981E+03
   0.600000E+00   0.980682E+02   0.636187E+03
   0.610000E+00   0.101041E+03   0.648403E+03
   0.620000E+00   0.104077E+03   0.660755E+03
   0.630000E+00   0.107103E+03   0.673125E+03
   0.640000E+00   0.110148E+03   0.685398E+03
   0.650000E+00   0.113290E+03   0.698018E+03
   0.660000E+00   0.116409E+03   0.710403E+03
   0.670000E+00   0.119603E+03   0.722939E+03
   0.680000E+00   0.122835E+03   0.735630E+03
   0.690000E+00   0.126133E+03   0.748303E+03
   0.700000E+00   0.129414E+03   0.760862E+03
   0.710000E+00   0.132773E+03   0.773603E+03
   0.720000E+00   0.136174E+03   0.786404E+03
   0.730000E+00   0.139604E+03   0.799225E+03
   0.740000E+00   0.143109E+03   0.812209E+03
   0.750000E+00   0.146628E+03   0.825159E+03
   0.760000E+00   0.150162E+03   0.837993E+03
   0.770000E+00   0.153772E+03   0.851072E+03
   0.780000E+00   0.157437E+03   0.864225E+03
   0.790000E+00   0.161122E+03   0.877301E+03
   0.800000E+00   0.164828E+03   0.890500E+03
   0.810000E+00   0.168572E+03   0.903660E+03
   0.820000E+00   0.172376E+03   0.916979E+03
   0.830000E+00   0.176215E+03   0.930292E+03
   0.840000E+00   0.180062E+03   0.943575E+03
   0.850000E+00   0.183986E+03   0.957051E+03
   0.860000E+00   0.187931E+03   0.970491E+03
   0.870000E+00   0.191883E+03   0.983901E+03
   0.880000E+00   0.195944E+03   0.997612E+03
   0.890000E+00   0.199965E+03   0.101109E+04
   0.900000E+00   0.204016E+03   0.102465E+04
   0.910000E+00   0.208159E+03   0.103838E+04
   0.920000E+00   0.212323E+03   0.105211E+04
   0.930000E+00   0.216509E+03   0.106592E+04
   0.940000E+00   0.220691E+03   0.107957E+04
   0.950000E+00   0.225004E+03   0.109360E+04
   0.960000E+00   0.229246E+03   0.110743E+04
   0.970000E+00   0.233580E+03   0.112132E+04
   0.980000E+00   0.237983E+03   0.113549E+04
   0.990000E+00   0.242332E+03   0.114941E+04
   0.100000E+01   0.246717E+03   0.116338E+04
   0.101000E+01   0.251232E+03   0.117772E+04
   0.102000E+01   0.255683E+03   0.119179E+04
   0.103000E+01   0.260169E+03   0.120595E+04
   0.104000E+01   0.264697E+03   0.122017E+04
   0.105000E+01   0.269295E+03   0.123454E+04
   0.106000E+01   0.273921E+03   0.124893E+04
   0.107000E+01   0.278503E+03   0.126319E+04
   0.108000E+01   0.283148E+03   0.127767E+04
   0.109000E+01   0.287938E+03   0.129232E+04
   0.110000E+01   0.292630E+03   0.130672E+04
   0.111000E+01   0.297348E+03   0.132127E+04
   0.112000E+01   0.302086E+03   0.133576E+04
   0.113000E+01   0.306917E+03   0.135055E+04
   0.114000E+01   0.311785E+03   0.136526E+04
   0.115000E+01   0.316597E+03   0.137984E+04
   0.116000E+01   0.321529E+03   0.139474E+04
   0.117000E+01   0.326492E+03   0.140971E+04
   0.118000E+01   0.331417E+03   0.142450E+04
   0.119000E+01   0.336386E+03   0.143944E+04
   0.120000E+01   0.341366E+03   0.145428E+04
