  density  pressure  energy
   0.500000E-02   0.706281E-02   0.470501E+01
   0.100000E-01   0.211888E-01   0.942252E+01
   0.150000E-01   0.394299E-01   0.141531E+02
   0.200000E-01   0.604253E-01   0.188858E+02
   0.250000E-01   0.821551E-01   0.236235E+02
   0.300000E-01   0.102730E+00   0.283649E+02
   0.350000E-01   0.121303E+00   0.331303E+02
   0.400000E-01   0.136562E+00   0.378698E+02
   0.450000E-01   0.148543E+00   0.426207E+02
   0.500000E-01   0.158345E+00   0.473734E+02
   0.550000E-01   0.166445E+00   0.521390E+02
   0.600000E-01   0.173821E+00   0.568801E+02
   0.650000E-01   0.183181E+00   0.616357E+02
   0.700000E-01   0.194442E+00   0.663902E+02
   0.750000E-01   0.211326E+00   0.711480E+02
   0.800000E-01   0.233696E+00   0.759054E+02
   0.850000E-01   0.264466E+00   0.806743E+02
   0.900000E-01   0.304044E+00   0.854259E+02
   0.950000E-01   0.355515E+00   0.901906E+02
   0.100000E+00   0.419045E+00   0.949571E+02
   0.105000E+00   0.496887E+00   0.997436E+02
   0.110000E+00   0.589413E+00   0.104519E+03
   0.115000E+00   0.696979E+00   0.109299E+03
   0.120000E+00   0.820499E+00   0.114085E+03
   0.125000E+00   0.960747E+00   0.118875E+03
   0.130000E+00   0.111948E+01   0.123672E+03
   0.135000E+00   0.129665E+01   0.128463E+03
   0.140000E+00   0.149405E+01   0.133273E+03
   0.145000E+00   0.171251E+01   0.138090E+03
   0.150000E+00   0.195303E+01   0.142914E+03
   0.155000E+00   0.222008E+01   0.147747E+03
   0.160000E+00   0.252327E+01   0.152589E+03
   0.165000E+00   0.288613E+01   0.157443E+03
   0.170000E+00   0.335462E+01   0.162309E+03
   0.175000E+00   0.398630E+01   0.167188E+03
   0.180000E+00   0.481548E+01   0.172092E+03
   0.185000E+00   0.582509E+01   0.177019E+03
   0.190000E+00   0.698011E+01   0.181977E+03
   0.195000E+00   0.824598E+01   0.186965E+03
   0.200000E+00   0.959714E+01   0.191987E+03
   0.205000E+00   0.110173E+02   0.197044E+03
   0.210000E+00   0.124936E+02   0.202137E+03
   0.215000E+00   0.139778E+02   0.207265E+03
   0.220000E+00   0.152422E+02   0.212425E+03
   0.225000E+00   0.165036E+02   0.217609E+03
   0.230000E+00   0.177868E+02   0.222834E+03
   0.235000E+00   0.190856E+02   0.228074E+03
   0.240000E+00   0.204058E+02   0.233349E+03
   0.245000E+00   0.217442E+02   0.238646E+03
   0.250000E+00   0.231038E+02   0.243982E+03
   0.255000E+00   0.244807E+02   0.249339E+03
   0.260000E+00   0.258716E+02   0.254713E+03
   0.265000E+00   0.272804E+02   0.260131E+03
   0.270000E+00   0.287054E+02   0.265566E+03
   0.275000E+00   0.301488E+02   0.271034E+03
   0.280000E+00   0.315993E+02   0.276511E+03
   0.285000E+00   0.330697E+02   0.282037E+03
   0.290000E+00   0.345507E+02   0.287575E+03
   0.295000E+00   0.360454E+02   0.293137E+03
   0.300000E+00   0.375578E+02   0.298739E+03
   0.305000E+00   0.390762E+02   0.304359E+03
   0.310000E+00   0.406072E+02   0.309991E+03
   0.315000E+00   0.421554E+02   0.315669E+03
   0.320000E+00   0.437111E+02   0.321361E+03
   0.325000E+00   0.452790E+02   0.327074E+03
   0.330000E+00   0.468547E+02   0.332820E+03
   0.335000E+00   0.484435E+02   0.338582E+03
   0.340000E+00   0.500473E+02   0.344385E+03
   0.345000E+00   0.516576E+02   0.350188E+03
   0.350000E+00   0.532749E+02   0.356026E+03
   0.355000E+00   0.549043E+02   0.361886E+03
   0.360000E+00   0.565462E+02   0.367767E+03
   0.365000E+00   0.581955E+02   0.373677E+03
   0.370000E+00   0.598544E+02   0.379601E+03
   0.375000E+00   0.615248E+02   0.385557E+03
   0.380000E+00   0.632017E+02   0.391538E+03
   0.385000E+00   0.648887E+02   0.397526E+03
   0.390000E+00   0.665842E+02   0.403543E+03
   0.395000E+00   0.682891E+02   0.409587E+03
   0.400000E+00   0.700039E+02   0.415648E+03
   0.405000E+00   0.717175E+02   0.421734E+03
