323.594 12.056 2.021 3.011e+01 4.189e-02 7.280e-01 2.474e-01
306.761 12.125 2.032 3.074e+01 4.265e-02 7.012e-01 2.473e-01
290.804 12.193 2.041 3.145e+01 4.348e-02 6.732e-01 2.471e-01
275.677 12.261 2.051 3.226e+01 4.436e-02 6.450e-01 2.469e-01
261.336 12.329 2.059 3.317e+01 4.528e-02 6.168e-01 2.465e-01
247.742 12.396 2.067 3.420e+01 4.628e-02 5.875e-01 2.461e-01
234.855 12.463 2.073 3.536e+01 4.733e-02 5.585e-01 2.455e-01
222.638 12.529 2.079 3.666e+01 4.845e-02 5.290e-01 2.449e-01
211.057 12.595 2.083 3.812e+01 4.962e-02 5.002e-01 2.442e-01
200.078 12.659 2.087 3.975e+01 5.088e-02 4.705e-01 2.433e-01
189.671 12.722 2.089 4.157e+01 5.220e-02 4.412e-01 2.424e-01
179.804 12.783 2.090 4.362e+01 5.361e-02 4.114e-01 2.414e-01
170.451 12.843 2.090 4.590e+01 5.510e-02 3.822e-01 2.402e-01
161.585 12.901 2.089 4.846e+01 5.667e-02 3.530e-01 2.390e-01
153.179 12.957 2.086 5.132e+01 5.833e-02 3.242e-01 2.376e-01
145.211 13.011 2.082 5.450e+01 6.006e-02 2.961e-01 2.362e-01
137.658 13.062 2.076 5.807e+01 6.189e-02 2.680e-01 2.346e-01
130.497 13.111 2.069 6.207e+01 6.380e-02 2.410e-01 2.329e-01
123.709 13.157 2.060 6.656e+01 6.582e-02 2.144e-01 2.311e-01
117.274 13.199 2.050 7.163e+01 6.797e-02 1.875e-01 2.292e-01
111.173 13.239 2.038 7.737e+01 7.020e-02 1.622e-01 2.272e-01
105.390 13.275 2.024 8.386e+01 7.256e-02 1.369e-01 2.250e-01
99.908 13.308 2.008 9.121e+01 7.503e-02 1.126e-01 2.228e-01
94.711 13.337 1.991 9.955e+01 7.763e-02 8.858e-02 2.204e-01
89.784 13.363 1.973 1.090e+02 8.033e-02 6.583e-02 2.179e-01
85.114 13.385 1.953 1.197e+02 8.317e-02 4.354e-02 2.153e-01
80.686 13.404 1.931 1.320e+02 8.609e-02 2.261e-02 2.127e-01
76.489 13.419 1.908 1.458e+02 8.913e-02 2.329e-03 2.099e-01
72.510 13.429 1.884 1.616e+02 9.233e-02 -1.798e-02 2.071e-01
68.738 13.436 1.859 1.795e+02 9.559e-02 -3.666e-02 2.042e-01
65.163 13.439 1.832 2.000e+02 9.897e-02 -5.443e-02 2.012e-01
61.773 13.438 1.804 2.234e+02 1.025e-01 -7.120e-02 1.982e-01
58.560 13.433 1.775 2.503e+02 1.060e-01 -8.696e-02 1.951e-01
55.514 13.423 1.745 2.812e+02 1.098e-01 -1.024e-01 1.919e-01
52.626 13.409 1.714 3.168e+02 1.136e-01 -1.167e-01 1.887e-01
49.888 13.391 1.682 3.579e+02 1.175e-01 -1.299e-01 1.854e-01
47.293 13.369 1.648 4.056e+02 1.215e-01 -1.420e-01 1.820e-01
44.833 13.342 1.614 4.608e+02 1.256e-01 -1.536e-01 1.786e-01
42.501 13.311 1.579 5.250e+02 1.298e-01 -1.641e-01 1.751e-01
40.290 13.276 1.544 5.999e+02 1.340e-01 -1.735e-01 1.716e-01
38.194 13.237 1.507 6.872e+02 1.383e-01 -1.818e-01 1.681e-01
36.208 13.194 1.471 7.895e+02 1.427e-01 -1.890e-01 1.645e-01
34.324 13.146 1.433 9.096e+02 1.472e-01 -1.959e-01 1.609e-01
32.539 13.095 1.395 1.051e+03 1.516e-01 -2.011e-01 1.573e-01
30.846 13.039 1.357 1.217e+03 1.561e-01 -2.061e-01 1.536e-01
29.242 12.980 1.319 1.414e+03 1.607e-01 -2.096e-01 1.499e-01
27.720 12.917 1.280 1.646e+03 1.652e-01 -2.122e-01 1.462e-01
