  density  pressure  energy
   0.500000E-02   0.706281E-02   0.470501E+01
   0.100000E-01   0.211888E-01   0.942252E+01
   0.150000E-01   0.394299E-01   0.141531E+02
   0.200000E-01   0.604253E-01   0.188858E+02
   0.250000E-01   0.821551E-01   0.236235E+02
   0.300000E-01   0.102730E+00   0.283649E+02
   0.350000E-01   0.121303E+00   0.331303E+02
   0.400000E-01   0.136562E+00   0.378698E+02
   0.450000E-01   0.148543E+00   0.426207E+02
   0.500000E-01   0.158345E+00   0.473734E+02
   0.550000E-01   0.166445E+00   0.521390E+02
   0.600000E-01   0.173821E+00   0.568801E+02
   0.650000E-01   0.183181E+00   0.616357E+02
   0.700000E-01   0.194442E+00   0.663902E+02
   0.750000E-01   0.211326E+00   0.711480E+02
   0.800000E-01   0.233696E+00   0.759054E+02
   0.850000E-01   0.264466E+00   0.806743E+02
   0.900000E-01   0.304044E+00   0.854259E+02
   0.950000E-01   0.355515E+00   0.901906E+02
   0.100000E+00   0.419045E+00   0.949571E+02
   0.105000E+00   0.496887E+00   0.997436E+02
   0.110000E+00   0.589413E+00   0.104519E+03
   0.115000E+00   0.696979E+00   0.109299E+03
   0.120000E+00   0.820499E+00   0.114085E+03
   0.125000E+00   0.960747E+00   0.118875E+03
   0.130000E+00   0.111948E+01   0.123672E+03
   0.135000E+00   0.129665E+01   0.128463E+03
   0.140000E+00   0.149405E+01   0.133273E+03
   0.145000E+00   0.171251E+01   0.138090E+03
   0.150000E+00   0.195303E+01   0.142914E+03
   0.155000E+00   0.222008E+01   0.147747E+03
   0.160000E+00   0.252327E+01   0.152589E+03
   0.165000E+00   0.288613E+01   0.157443E+03
   0.170000E+00   0.335462E+01   0.162309E+03
   0.175000E+00   0.398630E+01   0.167188E+03
   0.180000E+00   0.481548E+01   0.172092E+03
   0.185000E+00   0.582509E+01   0.177019E+03
   0.190000E+00   0.698011E+01   0.181977E+03
   0.195000E+00   0.810596E+01   0.186974E+03
   0.200000E+00   0.910635E+01   0.191989E+03
   0.205000E+00   0.101581E+02   0.197019E+03
   0.210000E+00   0.112644E+02   0.202083E+03
   0.215000E+00   0.124143E+02   0.207182E+03
   0.220000E+00   0.136015E+02   0.212307E+03
   0.225000E+00   0.148215E+02   0.217446E+03
   0.230000E+00   0.160735E+02   0.222629E+03
   0.235000E+00   0.173499E+02   0.227828E+03
   0.240000E+00   0.186464E+02   0.233058E+03
   0.245000E+00   0.199729E+02   0.238327E+03
   0.250000E+00   0.213172E+02   0.243605E+03
   0.255000E+00   0.226762E+02   0.248913E+03
   0.260000E+00   0.240588E+02   0.254255E+03
   0.265000E+00   0.254573E+02   0.259623E+03
   0.270000E+00   0.268726E+02   0.265013E+03
   0.275000E+00   0.283012E+02   0.270440E+03
   0.280000E+00   0.297505E+02   0.275876E+03
   0.285000E+00   0.312141E+02   0.281359E+03
   0.290000E+00   0.326881E+02   0.286849E+03
   0.295000E+00   0.341785E+02   0.292367E+03
   0.300000E+00   0.356813E+02   0.297920E+03
   0.305000E+00   0.371967E+02   0.303493E+03
   0.310000E+00   0.387258E+02   0.309095E+03
   0.315000E+00   0.402668E+02   0.314720E+03
   0.320000E+00   0.418199E+02   0.320368E+03
   0.325000E+00   0.433819E+02   0.326032E+03
   0.330000E+00   0.449565E+02   0.331741E+03
   0.335000E+00   0.465504E+02   0.337468E+03
   0.340000E+00   0.481461E+02   0.343206E+03
   0.345000E+00   0.497550E+02   0.348976E+03
   0.350000E+00   0.513713E+02   0.354762E+03
   0.355000E+00   0.530055E+02   0.360578E+03
   0.360000E+00   0.546426E+02   0.366424E+03
   0.365000E+00   0.562934E+02   0.372287E+03
   0.370000E+00   0.579489E+02   0.378158E+03
   0.375000E+00   0.596213E+02   0.384076E+03
   0.380000E+00   0.612944E+02   0.390011E+03
   0.385000E+00   0.629843E+02   0.395952E+03
   0.390000E+00   0.646791E+02   0.401932E+03
   0.395000E+00   0.663858E+02   0.407930E+03
   0.400000E+00   0.680962E+02   0.413949E+03
   0.405000E+00   0.698143E+02   0.419994E+03
