   density  pressure  energy
   0.128000E+01   0.246050E+03   0.150294E+04
   0.129000E+01   0.248533E+03   0.151669E+04
   0.130000E+01   0.250968E+03   0.153028E+04
   0.131000E+01   0.253414E+03   0.154404E+04
   0.132000E+01   0.255849E+03   0.155776E+04
   0.133000E+01   0.258254E+03   0.157144E+04
   0.134000E+01   0.260680E+03   0.158525E+04
   0.135000E+01   0.263087E+03   0.159902E+04
   0.136000E+01   0.265505E+03   0.161291E+04
   0.137000E+01   0.267885E+03   0.162662E+04
   0.138000E+01   0.270287E+03   0.164051E+04
   0.139000E+01   0.272668E+03   0.165429E+04
   0.140000E+01   0.275083E+03   0.166831E+04
