  density  pressure  energy
   0.100000E-01   0.192901E-01   0.940647E+01
   0.200000E-01   0.588712E-01   0.188505E+02
   0.300000E-01   0.100656E+00   0.282878E+02
   0.400000E-01   0.137904E+00   0.379569E+02
   0.500000E-01   0.161353E+00   0.473583E+02
   0.600000E-01   0.174318E+00   0.569633E+02
   0.700000E-01   0.192539E+00   0.663492E+02
   0.800000E-01   0.233754E+00   0.758612E+02
   0.900000E-01   0.304029E+00   0.853742E+02
   0.100000E+00   0.415903E+00   0.948907E+02
   0.110000E+00   0.588228E+00   0.104564E+03
   0.120000E+00   0.823318E+00   0.114000E+03
   0.130000E+00   0.112261E+01   0.123720E+03
   0.140000E+00   0.149342E+01   0.133261E+03
   0.150000E+00   0.195190E+01   0.142970E+03
   0.160000E+00   0.248970E+01   0.152573E+03
   0.170000E+00   0.311824E+01   0.162278E+03
   0.180000E+00   0.384908E+01   0.172044E+03
   0.190000E+00   0.466124E+01   0.181818E+03
   0.200000E+00   0.559382E+01   0.191754E+03
   0.210000E+00   0.660986E+01   0.201554E+03
   0.220000E+00   0.773162E+01   0.211476E+03
   0.230000E+00   0.899182E+01   0.221600E+03
   0.240000E+00   0.103351E+02   0.231642E+03
   0.250000E+00   0.117852E+02   0.241634E+03
   0.260000E+00   0.133515E+02   0.251781E+03
   0.270000E+00   0.150504E+02   0.262026E+03
   0.280000E+00   0.168703E+02   0.272400E+03
   0.290000E+00   0.187737E+02   0.282662E+03
   0.300000E+00   0.208177E+02   0.293097E+03
   0.310000E+00   0.229751E+02   0.303597E+03
   0.320000E+00   0.252809E+02   0.314297E+03
   0.330000E+00   0.274777E+02   0.324905E+03
   0.340000E+00   0.289764E+02   0.335541E+03
   0.350000E+00   0.304563E+02   0.346391E+03
   0.360000E+00   0.319690E+02   0.357149E+03
   0.370000E+00   0.335483E+02   0.367924E+03
   0.380000E+00   0.352098E+02   0.378773E+03
   0.390000E+00   0.369873E+02   0.389752E+03
   0.400000E+00   0.388654E+02   0.400783E+03
   0.410000E+00   0.407159E+02   0.411710E+03
   0.420000E+00   0.424752E+02   0.422754E+03
   0.430000E+00   0.442722E+02   0.433978E+03
   0.440000E+00   0.460844E+02   0.445100E+03
   0.450000E+00   0.479437E+02   0.456232E+03
   0.460000E+00   0.498511E+02   0.467417E+03
   0.470000E+00   0.518276E+02   0.478653E+03
   0.480000E+00   0.538715E+02   0.490006E+03
   0.490000E+00   0.559618E+02   0.501345E+03
   0.500000E+00   0.581271E+02   0.512841E+03
   0.510000E+00   0.603344E+02   0.524286E+03
   0.520000E+00   0.625927E+02   0.535698E+03
   0.530000E+00   0.649424E+02   0.547272E+03
   0.540000E+00   0.673298E+02   0.558813E+03
   0.550000E+00   0.697674E+02   0.570338E+03
   0.560000E+00   0.722903E+02   0.582185E+03
   0.570000E+00   0.748550E+02   0.593822E+03
   0.580000E+00   0.774719E+02   0.605646E+03
   0.590000E+00   0.801403E+02   0.617381E+03
   0.600000E+00   0.828859E+02   0.629294E+03
   0.610000E+00   0.856494E+02   0.641151E+03
   0.620000E+00   0.884902E+02   0.653075E+03
   0.630000E+00   0.914058E+02   0.665140E+03
   0.640000E+00   0.943239E+02   0.677098E+03
   0.650000E+00   0.973249E+02   0.689266E+03
   0.660000E+00   0.100360E+03   0.701360E+03
